date,pypi_total_downloads,pypi_recent_downloads,stars,forks,open_issues,open_prs,version
2026-09-01,569,94,0,0,0,0,v0.1.6
2026-09-03,599,10,0,0,0,0,v0.1.6
2026-09-04,609,10,0,0,0,0,v0.1.6
2026-09-05,627,18,0,0,0,0,v0.1.6
2026-09-06,,,0,0,0,0,v0.1.6
2026-09-07,643,9,0,0,0,0,v0.1.6
2026-09-08,,,0,0,0,0,v0.1.6
2026-09-09,,,0,0,0,0,v0.1.6
2026-09-10,653,0,0,0,0,0,v0.1.6
2026-09-11,654,1,0,0,0,0,v0.1.6
2026-09-12,655,1,0,0,0,0,v0.1.6
2026-09-13,658,3,0,0,0,0,v0.1.6
2026-09-14,660,2,0,0,0,0,v0.1.6
2026-09-15,,,0,0,0,0,v0.1.6
2026-09-16,,,0,0,0,0,v0.1.6
2026-09-17,,,0,0,0,0,v0.1.6
2026-09-18,,,0,0,0,0,v0.1.6
2026-09-19,691,1,0,0,0,0,v0.1.6
2026-09-20,694,3,0,0,0,0,v0.1.6
2026-09-21,694,0,0,0,0,0,v0.1.6
2026-09-22,,,0,0,0,0,v0.1.6
2026-09-23,696,1,0,0,0,0,v0.1.6
2026-09-24,,,0,0,0,0,v0.1.6
